Abandoned Campground | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.
Polluted Mire | [] | This land enters tapped. {T}: Add {B}. Cycling {2} ({2}, Discard this card: Draw a card.)
Port of Karfell | [] | This land enters tapped. {T}: Add {U}. {3}{U}{B}{B}, {T}, Sacrifice this land: Mill four cards, then return a creature card from your graveyard to the battlefield tapped. (To mill a card, put the top card of your library into your graveyard.)
Port Town | [] | As this land enters, you may reveal a Plains or Island card from your hand. If you don't, this land enters tapped. {T}: Add {W} or {U}.
Power Depot | [] | This land enters tapped. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast artifact spells or activate abilities of artifacts. Modular 1
Prahv, Spires of Order | [] | {T}: Add {C}. {4}{W}{U}, {T}: Prevent all damage a source of your choice would deal this turn.
Prairie Stream | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped unless you control two or more basic lands.
Primal Beyond | [] | As this land enters, you may reveal an Elemental card from your hand. If you don't, this land enters tapped. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast an Elemental spell or activate an ability of an Elemental.
Prismari Campus | [] | This land enters tapped. {T}: Add {U} or {R}. {4}, {T}: Scry 1.
Prismatic Vista | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield, then shuffle.
Promising Vein | ['Cave'] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Public Thoroughfare | [] | This land enters tapped. When this land enters, sacrifice it unless you tap an untapped artifact or land you control. {T}: Add one mana of any color.
Quandrix Campus | [] | This land enters tapped. {T}: Add {G} or {U}. {4}, {T}: Scry 1.
Quicksand | [] | {T}: Add {C}. {T}, Sacrifice this land: Target attacking creature without flying gets -1/-2 until end of turn.
Rabanastre, Royal City | ['Town'] | This land enters tapped. {T}: Add {R} or {W}.
Racers' Ring | [] | This land enters tapped. {T}: Add {R} or {G}. {2}{R}{G}, {T}, Sacrifice this land: Draw a card.
Radiant Fountain | [] | When this land enters, you gain 2 life. {T}: Add {C}.
Radiant Grove | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped.
Raffine's Tower | ['Plains', 'Island', 'Swamp'] | ({T}: Add {W}, {U}, or {B}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Raging Ravine | [] | This land enters tapped. {T}: Add {R} or {G}. {2}{R}{G}: Until end of turn, this land becomes a 3/3 red and green Elemental creature with "Whenever this creature attacks, put a +1/+1 counter on it." It's still a land.
Rainbow Vale | [] | {T}: Add one mana of any color. An opponent gains control of this land at the beginning of the next end step.
Rakdos Carnarium | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {B}{R}.
Rakdos Guildgate | ['Gate'] | This land enters tapped. {T}: Add {B} or {R}.
Ramunap Ruins | ['Desert'] | {T}: Add {C}. {T}, Pay 1 life: Add {R}. {2}{R}{R}, {T}, Sacrifice a Desert: This land deals 2 damage to each opponent.
Rath's Edge | [] | {T}: Add {C}. {4}, {T}, Sacrifice a land: Rath's Edge deals 1 damage to any target.
Raucous Carnival | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {R} or {W}.
Raucous Theater | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Raugrin Triome | ['Island', 'Mountain', 'Plains'] | ({T}: Add {U}, {R}, or {W}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Ravaged Highlands | [] | This land enters tapped. {T}: Add {R}. {T}, Sacrifice this land: Add one mana of any color.
Razortide Bridge | [] | This land enters tapped. Indestructible {T}: Add {W} or {U}.
Razortrap Gorge | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {B} or {R}.
Razorverge Thicket | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {G} or {W}.
R&D's Secret Lair | [] | Play cards as written. Ignore all errata. {T}: Add {C}. (This mana is still added to your mana pool.)
Reef Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {U}. {1}{U}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Reflecting Pool | [] | {T}: Add one mana of any type that a land you control could produce.
Rejuvenating Springs | [] | This land enters tapped unless you have two or more opponents. {T}: Add {G} or {U}.
Reliquary Tower | [] | You have no maximum hand size. {T}: Add {C}.
Remote Farm | [] | This land enters tapped with two depletion counters on it. {T}, Remove a depletion counter from this land: Add {W}{W}. If there are no depletion counters on this land, sacrifice it.
Remote Isle | [] | This land enters tapped. {T}: Add {U}. Cycling {2} ({2}, Discard this card: Draw a card.)
Restless Anchorage | [] | This land enters tapped. {T}: Add {W} or {U}. {1}{W}{U}: Until end of turn, this land becomes a 2/3 white and blue Bird creature with flying. It's still a land. Whenever this land attacks, create a Map token.
Restless Bivouac | [] | This land enters tapped. {T}: Add {R} or {W}. {1}{R}{W}: This land becomes a 2/2 red and white Ox creature until end of turn. It's still a land. Whenever this land attacks, put a +1/+1 counter on target creature you control.
Restless Cottage | [] | This land enters tapped. {T}: Add {B} or {G}. {2}{B}{G}: This land becomes a 4/4 black and green Horror creature until end of turn. It's still a land. Whenever this land attacks, create a Food token and exile up to one target card from a graveyard.
Restless Fortress | [] | This land enters tapped. {T}: Add {W} or {B}. {2}{W}{B}: This land becomes a 1/4 white and black Nightmare creature until end of turn. It's still a land. Whenever this land attacks, defending player loses 2 life and you gain 2 life.
Restless Prairie | [] | This land enters tapped. {T}: Add {G} or {W}. {2}{G}{W}: This land becomes a 3/3 green and white Llama creature until end of turn. It's still a land. Whenever this land attacks, other creatures you control get +1/+1 until end of turn.
Restless Reef | [] | This land enters tapped. {T}: Add {U} or {B}. {2}{U}{B}: Until end of turn, this land becomes a 4/4 blue and black Shark creature with deathtouch. It's still a land. Whenever this land attacks, target player mills four cards.
Restless Ridgeline | [] | This land enters tapped. {T}: Add {R} or {G}. {2}{R}{G}: This land becomes a 3/4 red and green Dinosaur creature until end of turn. It's still a land. Whenever this land attacks, another target attacking creature gets +2/+0 until end of turn. Untap that creature.
Restless Spire | [] | This land enters tapped. {T}: Add {U} or {R}. {U}{R}: Until end of turn, this land becomes a 2/1 blue and red Elemental creature with "During your turn, this creature has first strike." It's still a land. Whenever this land attacks, scry 1.
Restless Vents | [] | This land enters tapped. {T}: Add {B} or {R}. {1}{B}{R}: Until end of turn, this land becomes a 2/3 black and red Insect creature with menace. It's still a land. Whenever this land attacks, you may discard a card. If you do, draw a card.
Restless Vinestalk | [] | This land enters tapped. {T}: Add {G} or {U}. {3}{G}{U}: Until end of turn, this land becomes a 5/5 green and blue Plant creature with trample. It's still a land. Whenever this land attacks, up to one other target creature has base power and toughness 3/3 until end of turn.
Rhystic Cave | [] | {T}: Choose a color. Add one mana of that color unless any player pays {1}. Activate only as an instant.
Riftstone Portal | [] | {T}: Add {C}. As long as this card is in your graveyard, lands you control have "{T}: Add {G} or {W}."
Rimewood Falls | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped.
Riptide Laboratory | [] | {T}: Add {C}. {1}{U}, {T}: Return target Wizard you control to its owner's hand.
Rishadan Port | [] | {T}: Add {C}. {1}, {T}: Tap target land.
Rith's Grove | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {R}, {G}, or {W}.
Rivendell | [] | Rivendell enters tapped unless you control a legendary creature. {T}: Add {U}. {1}{U}, {T}: Scry 2. Activate only if you control a legendary creature.
River Delta | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {U} or {B}. Put a depletion counter on this land.
Riverglide Pathway // Lavaglide Pathway | set() | {T}: Add {U}. // {T}: Add {R}.
River of Tears | [] | {T}: Add {U}. If you played a land this turn, add {B} instead.
Riverpyre Verge | [] | {T}: Add {R}. {T}: Add {U}. Activate only if you control an Island or a Mountain.
Riveteers Overlook | [] | When this land enters, sacrifice it. When you do, search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Rix Maadi, Dungeon Palace | [] | {T}: Add {C}. {1}{B}{R}, {T}: Each player discards a card. Activate only as a sorcery.
Roadside Reliquary | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Draw a card if you control an artifact. Draw a card if you control an enchantment.
Rockface Village | [] | {T}: Add {C}. {T}: Add {R}. Spend this mana only to cast a creature spell. {R}, {T}: Target Lizard, Mouse, Otter, or Raccoon you control gets +1/+0 and gains haste until end of turn. Activate only as a sorcery.
Rockfall Vale | [] | This land enters tapped unless you control two or more other lands. {T}: Add {R} or {G}.
Rocky Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {R}. {1}{R}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Rocky Tar Pit | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.
Rogue's Passage | [] | {T}: Add {C}. {4}, {T}: Target creature can't be blocked this turn.
Rootbound Crag | [] | This land enters tapped unless you control a Mountain or a Forest. {T}: Add {R} or {G}.
Rootwater Depths | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land doesn't untap during your next untap step.
Rugged Highlands | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {R} or {G}.
Rugged Prairie | [] | {T}: Add {C}. {R/W}, {T}: Add {R}{R}, {R}{W}, or {W}{W}.
Ruins of Oran-Rief | [] | This land enters tapped. {T}: Add {C}. ({C} represents colorless mana.) {T}: Put a +1/+1 counter on target colorless creature that entered this turn.
Ruins of Trokair | [] | This land enters tapped. {T}: Add {W}. {T}, Sacrifice this land: Add {W}{W}.
Rupture Spire | [] | This land enters tapped. When this land enters, sacrifice it unless you pay {1}. {T}: Add one mana of any color.
Rushwood Grove | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {G} for each storage counter removed this way.
Rustic Clachan | [] | As this land enters, you may reveal a Kithkin card from your hand. If you don't, this land enters tapped. {T}: Add {W}. Reinforce 1—{1}{W} ({1}{W}, Discard this card: Put a +1/+1 counter on target creature.)
Rustvale Bridge | [] | This land enters tapped. Indestructible {T}: Add {R} or {W}.
Sacred Foundry | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Sacred Peaks | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped.
Safe Haven | [] | {2}, {T}: Exile target creature you control. At the beginning of your upkeep, you may sacrifice this land. If you do, return each card exiled with this land to the battlefield under its owner's control.
Saltcrusted Steppe | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {G} and/or {W}.
Salt Flats | [] | This land enters tapped. {T}: Add {C}. {T}: Add {W} or {B}. This land deals 1 damage to you.
Salt Marsh | [] | This land enters tapped. {T}: Add {U} or {B}.
Sanctum of Eternity | [] | {T}: Add {C}. {2}, {T}: Return target commander you own from the battlefield to your hand. Activate only during your turn.
Sanctum of Ugin | [] | {T}: Add {C}. Whenever you cast a colorless spell with mana value 7 or greater, you may sacrifice this land. If you do, search your library for a colorless creature card, reveal it, put it into your hand, then shuffle.
Sand Silos | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {U} for each storage counter removed this way.
Sandsteppe Citadel | [] | This land enters tapped. {T}: Add {W}, {B}, or {G}.
Sandstone Bridge | [] | This land enters tapped. When this land enters, target creature gets +1/+1 and gains vigilance until end of turn. {T}: Add {W}.
Sandstone Needle | [] | This land enters tapped with two depletion counters on it. {T}, Remove a depletion counter from this land: Add {R}{R}. If there are no depletion counters on this land, sacrifice it.
Sandstorm Verge | ['Desert'] | {T}: Add {C}. {3}, {T}: Target creature can't block this turn. Activate only as a sorcery.
Saprazzan Cove | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {U} for each storage counter removed this way.
Saprazzan Skerry | [] | This land enters tapped with two depletion counters on it. {T}, Remove a depletion counter from this land: Add {U}{U}. If there are no depletion counters on this land, sacrifice it.
Sapseep Forest | ['Forest'] | ({T}: Add {G}.) This land enters tapped. {G}, {T}: You gain 1 life. Activate only if you control two or more green permanents.
Savage Lands | [] | This land enters tapped. {T}: Add {B}, {R}, or {G}.
Savai Triome | ['Mountain', 'Plains', 'Swamp'] | ({T}: Add {R}, {W}, or {B}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Savannah | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.)
Scabland | [] | This land enters tapped. {T}: Add {C}. {T}: Add {R} or {W}. This land deals 1 damage to you.
Scalding Tarn | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.
Scattered Groves | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Scavenger Grounds | ['Desert'] | {T}: Add {C}. {2}, {T}, Sacrifice a Desert: Exile all graveyards.
Scene of the Crime | ['Clue'] | This land enters tapped. {T}: Add {C}. {T}, Tap an untapped creature you control: Add one mana of any color. {2}, Sacrifice this land: Draw a card.
School of the Unseen | [] | {T}: Add {C}. {2}, {T}: Add one mana of any color.
Scorched Ruins | [] | If this land would enter, sacrifice two untapped lands instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {C}{C}{C}{C}.
Scoured Barrens | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {W} or {B}.
Scrubland | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.)
Scrying Sheets | [] | {T}: Add {C}. {1}{S}, {T}: Look at the top card of your library. If that card is snow, you may reveal it and put it into your hand. ({S} can be paid with one mana from a snow source.)
Seachrome Coast | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {W} or {U}.
Seafarer's Quay | [] | Blue legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Seafloor Debris | [] | This land enters tapped. {T}: Add {U}. {T}, Sacrifice this land: Add one mana of any color.
Sea Gate | ['Gate'] | This land enters tapped. As this land enters, choose a color other than blue. {T}: Add {U} or one mana of the chosen color.
Sea Gate Wreckage | [] | {T}: Add {C}. ({C} represents colorless mana.) {2}{C}, {T}: Draw a card. Activate only if you have no cards in hand.
Sea of Clouds | [] | This land enters tapped unless you have two or more opponents. {T}: Add {W} or {U}.
Seaside Citadel | [] | This land enters tapped. {T}: Add {G}, {W}, or {U}.
Seaside Haven | [] | {T}: Add {C}. {W}{U}, {T}, Sacrifice a Bird: Draw a card.
Seat of the Synod | [] | {T}: Add {U}.
Secluded Courtyard | [] | As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type.
Secluded Glen | [] | As this land enters, you may reveal a Faerie card from your hand. If you don't, this land enters tapped. {T}: Add {U} or {B}.
Secluded Steppe | [] | This land enters tapped. {T}: Add {W}. Cycling {W} ({W}, Discard this card: Draw a card.)
Secret Base | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a spell that shares a watermark with this land.
Secret Passage | [] | This land enters tapped. {T}: Add {U} or {B}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Seething Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle. Cycling {U}{B}{R} ({U}{B}{R}, Discard this card: Draw a card.)
Sejiri Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {W} or {U}.
Sejiri Steppe | [] | This land enters tapped. When this land enters, target creature you control gains protection from the color of your choice until end of turn. {T}: Add {W}.
Selesnya Guildgate | ['Gate'] | This land enters tapped. {T}: Add {G} or {W}.
Selesnya Sanctuary | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {G}{W}.
Sequestered Stash | [] | {T}: Add {C}. {4}, {T}, Sacrifice this land: Mill five cards. Then you may put an artifact card from your graveyard on top of your library.
Seraph Sanctuary | [] | When this land enters, you gain 1 life. Whenever an Angel you control enters, you gain 1 life. {T}: Add {C}.
Serra's Sanctum | [] | {T}: Add {W} for each enchantment you control.
Shadowblood Ridge | [] | {1}, {T}: Add {B}{R}.
Shadowy Backstreet | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Shambling Vent | [] | This land enters tapped. {T}: Add {W} or {B}. {1}{W}{B}: This land becomes a 2/3 white and black Elemental creature with lifelink until end of turn. It's still a land.
Sharlayan, Nation of Scholars | ['Town'] | This land enters tapped. {T}: Add {W} or {U}.
Shattered Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Mountain, Plains, or Swamp card, put it onto the battlefield tapped, then shuffle. Cycling {R}{W}{B} ({R}{W}{B}, Discard this card: Draw a card.)
Shattered Sanctum | [] | This land enters tapped unless you control two or more other lands. {T}: Add {W} or {B}.
Shefet Dunes | ['Desert'] | {T}: Add {C}. {T}, Pay 1 life: Add {W}. {2}{W}{W}, {T}, Sacrifice a Desert: Creatures you control get +1/+1 until end of turn. Activate only as a sorcery.
Shelldock Isle | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {U}. {U}, {T}: You may play the exiled card without paying its mana cost if a library has twenty or fewer cards in it.
Sheltered Thicket | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Sheltered Valley | [] | If this land would enter, instead sacrifice each other permanent named Sheltered Valley you control, then put this land onto the battlefield. At the beginning of your upkeep, if you control three or fewer lands, you gain 1 life. {T}: Add {C}.
Sheltering Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle. Cycling {R}{G}{W} ({R}{G}{W}, Discard this card: Draw a card.)
Shifting Woodland | [] | This land enters tapped unless you control a Forest. {T}: Add {G}. Delirium — {2}{G}{G}: This land becomes a copy of target permanent card in your graveyard until end of turn. Activate only if there are four or more card types among cards in your graveyard.
Shimmerdrift Vale | [] | This land enters tapped. As this land enters, choose a color. {T}: Add one mana of the chosen color.
Shimmering Grotto | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color.
Shineshadow Snarl | [] | As this land enters, you may reveal a Plains or Swamp card from your hand. If you don't, this land enters tapped. {T}: Add {W} or {B}.
Shinka, the Bloodsoaked Keep | [] | {T}: Add {R}. {R}, {T}: Target legendary creature gains first strike until end of turn.
Shipwreck Marsh | [] | This land enters tapped unless you control two or more other lands. {T}: Add {U} or {B}.
Shire Terrace | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Shivan Gorge | [] | {T}: Add {C}. {2}{R}, {T}: Shivan Gorge deals 1 damage to each opponent.
Shivan Oasis | [] | This land enters tapped. {T}: Add {R} or {G}.
Shivan Reef | [] | {T}: Add {C}. {T}: Add {U} or {R}. This land deals 1 damage to you.
Shizo, Death's Storehouse | [] | {T}: Add {B}. {B}, {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)
Shrine of the Forsaken Gods | [] | {T}: Add {C}. {T}: Add {C}{C}. Spend this mana only to cast colorless spells. Activate only if you control seven or more lands.
Silent Clearing | [] | {T}, Pay 1 life: Add {W} or {B}. {1}, {T}, Sacrifice this land: Draw a card.
Silverbluff Bridge | [] | This land enters tapped. Indestructible {T}: Add {U} or {R}.
Silverquill Campus | [] | This land enters tapped. {T}: Add {W} or {B}. {4}, {T}: Scry 1.
Simic Growth Chamber | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {G}{U}.
Simic Guildgate | ['Gate'] | This land enters tapped. {T}: Add {G} or {U}.
Skarrg, the Rage Pits | [] | {T}: Add {C}. {R}{G}, {T}: Target creature gets +1/+1 and gains trample until end of turn.
Skemfar Elderhall | [] | This land enters tapped. {T}: Add {G}. {2}{B}{B}{G}, {T}, Sacrifice this land: Up to one target creature you don't control gets -2/-2 until end of turn. Create two 1/1 green Elf Warrior creature tokens. Activate only as a sorcery.
Skybridge Towers | [] | This land enters tapped. {T}: Add {W} or {U}. {2}{W}{U}, {T}, Sacrifice this land: Draw a card.
Skycloud Expanse | [] | {1}, {T}: Add {W}{U}.
Skyline Cascade | [] | This land enters tapped. When this land enters, target creature an opponent controls doesn't untap during its controller's next untap step. {T}: Add {U}.
Skyshroud Forest | [] | This land enters tapped. {T}: Add {C}. {T}: Add {G} or {U}. This land deals 1 damage to you.
Slagwoods Bridge | [] | This land enters tapped. Indestructible {T}: Add {R} or {G}.
Slayers' Stronghold | [] | {T}: Add {C}. {R}{W}, {T}: Target creature gets +2/+0 and gains vigilance and haste until end of turn.
Slippery Karst | [] | This land enters tapped. {T}: Add {G}. Cycling {2} ({2}, Discard this card: Draw a card.)
Sliver Hive | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Sliver spell. {5}, {T}: Create a 1/1 colorless Sliver creature token. Activate only if you control a Sliver.
Smoldering Crater | [] | This land enters tapped. {T}: Add {R}. Cycling {2} ({2}, Discard this card: Draw a card.)
Smoldering Marsh | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped unless you control two or more basic lands.
Smoldering Spires | [] | This land enters tapped. When this land enters, target creature can't block this turn. {T}: Add {R}.
Snow-Covered Forest | ['Forest'] | ({T}: Add {G}.)
Snow-Covered Island | ['Island'] | ({T}: Add {U}.)
Snow-Covered Mountain | ['Mountain'] | ({T}: Add {R}.)
Snow-Covered Plains | ['Plains'] | ({T}: Add {W}.)
Snow-Covered Swamp | ['Swamp'] | ({T}: Add {B}.)
Snow-Covered Wastes | [] | {T}: Add {C}.
Snowfield Sinkhole | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped.
Soaring Seacliff | [] | This land enters tapped. When this land enters, target creature gains flying until end of turn. {T}: Add {U}.
Sokenzan, Crucible of Defiance | [] | {T}: Add {R}. Channel — {3}{R}, Discard this card: Create two 1/1 colorless Spirit creature tokens. They gain haste until end of turn. This ability costs {1} less to activate for each legendary creature you control.
Soldevi Excavations | [] | If this land would enter, sacrifice an untapped Island instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {C}{U}. {1}, {T}: Scry 1.
Sorrow's Path | [] | {T}: Choose two target blocking creatures controlled by the same opponent. If each of those creatures could block all creatures that the other is blocking, remove both of them from combat. Each one then blocks all creatures the other was blocking. Whenever this land becomes tapped, it deals 2 damage to you and each creature you control.
Soulstone Sanctuary | [] | {T}: Add {C}. {4}: This land becomes a 3/3 creature with vigilance and all creature types. It's still a land.
Soured Springs | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {U} or {B}.
Spara's Headquarters | ['Forest', 'Plains', 'Island'] | ({T}: Add {G}, {W}, or {U}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Spawning Bed | [] | {T}: Add {C}. {6}, {T}, Sacrifice this land: Create three 1/1 colorless Eldrazi Scion creature tokens. They have "Sacrifice this token: Add {C}."
Spawning Pool | [] | This land enters tapped. {T}: Add {B}. {1}{B}: This land becomes a 1/1 black Skeleton creature with "{B}: Regenerate this creature" until end of turn. It's still a land. (If it regenerates, the next time it would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)
Spectator Seating | [] | This land enters tapped unless you have two or more opponents. {T}: Add {R} or {W}.
Spinerock Knoll | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {R}. {R}, {T}: You may play the exiled card without paying its mana cost if an opponent was dealt 7 or more damage this turn.
Spirebluff Canal | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {U} or {R}.
Spire Garden | [] | This land enters tapped unless you have two or more opponents. {T}: Add {R} or {G}.
Spire of Industry | [] | {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color. Activate only if you control an artifact.
Springjack Pasture | [] | {T}: Add {C}. {4}, {T}: Create a 0/1 white Goat creature token. {T}, Sacrifice X Goats: Add X mana of any one color. You gain X life.
Spymaster's Vault | [] | This land enters tapped unless you control a Swamp. {T}: Add {B}. {B}, {T}: Target creature you control connives X, where X is the number of creatures that died this turn. (Draw X cards, then discard X cards. Put a +1/+1 counter on that creature for each nonland card discarded this way.)
Stalking Stones | [] | {T}: Add {C}. {6}: This land becomes a 3/3 Elemental artifact creature that's still a land. (This effect lasts indefinitely.)
Starlit Sanctum | [] | {T}: Add {C}. {W}, {T}, Sacrifice a Cleric creature: You gain life equal to the sacrificed creature's toughness. {B}, {T}, Sacrifice a Cleric creature: Target player loses life equal to the sacrificed creature's power.
Starting Town | ['Town'] | This land enters tapped unless it's your first, second, or third turn of the game. {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color.
Steam Vents | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Stensia Bloodhall | [] | {T}: Add {C}. {3}{B}{R}, {T}: This land deals 2 damage to target player or planeswalker.
Stirring Wildwood | [] | This land enters tapped. {T}: Add {G} or {W}. {1}{G}{W}: Until end of turn, this land becomes a 3/4 green and white Elemental creature with reach. It's still a land.
Stomping Ground | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Stone Quarry | [] | This land enters tapped. {T}: Add {R} or {W}.
Stormcarved Coast | [] | This land enters tapped unless you control two or more other lands. {T}: Add {U} or {R}.
Strangled Cemetery | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {B} or {G}.
Strip Mine | [] | {T}: Add {C}. {T}, Sacrifice this land: Destroy target land.
Study | [] | This land enters tapped. {T}: Add {W} or {U}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Study Hall | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. When you spend this mana to cast your commander, scry X, where X is the number of times it's been cast from the command zone this game.
Submerged Boneyard | [] | This land enters tapped. {T}: Add {U} or {B}.
Subterranean Hangar | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {B} for each storage counter removed this way.
Sulfur Falls | [] | This land enters tapped unless you control an Island or a Mountain. {T}: Add {U} or {R}.
Sulfurous Mire | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped.
Sulfurous Springs | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land deals 1 damage to you.
Sulfur Vent | [] | This land enters tapped. {T}: Add {B}. {T}, Sacrifice this land: Add {U}{R}.
Sunbaked Canyon | [] | {T}, Pay 1 life: Add {R} or {W}. {1}, {T}, Sacrifice this land: Draw a card.
Sunbillow Verge | [] | {T}: Add {W}. {T}: Add {R}. Activate only if you control a Mountain or a Plains.
